ken_code,description,base_cost,avg_length_of_stay,daily_surcharge_rate,category_letter
Κ05Χ,Αορτοστεφανιαία παράκαμψη με καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,7270.00,13,54.88,Κ
Κ06Μ,Αορτοστεφανιαία παράκαμψη χωρίς καρδιακό καθετηριασμό με επανεπέμβαση ή με καταστροφικές / σοβαρές συνυπάρχουσες παθήσεις-επιπλοκές,7182.00,10,270.16,Κ
Κ06Χ,Αορτοστεφανιαία παράκαμψη χωρίς καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,5077.00,7,193.92,Κ
Κ07Μα,Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,10554.00,12,169.24,Κ
Κ07Μβ,Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία με σοβαρές ή μετρίας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές,7279.00,8,285.69,Κ
Κ07Χ,Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,5354.00,7,124.65,Κ
Κ08Μ,Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,8956.00,16,147.50,Κ
Κ08Χ,Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς εξωσωματική κυκλοφορία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,5561.00,7,272.91,Κ
Κ09Μα,Λοιπές κάρδιοθωρακικές χειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,6413.00,10,258.93,Κ
Κ09Μβ,Άλλες κάρδιο-θώρακοχειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία με σοβαρής ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές,3617.00,6,184.56,Κ
Κ09Χ,Άλλες κάρδιο-θώρακοχειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,2386.00,3,233.66,Κ
Κ10Μ,Επεμβατικές στεφανιαίες επεμβάσεις με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,4166.00,8,249.97,Κ
Κ10Χ,Επεμβατικές στεφανιαίες επεμβάσεις με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2724.00,4,274.45,Κ
Κ11Μ,"Ακρωτηριασμός λόγω αγγειακής ισχαιμίας, πλην άνω άκρου και δακτύλων άκρου ποδός, με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",7292.00,27,172.06,Κ
Κ11Χ,"Ακρωτηριασμός λόγω αγγειακής ισχαιμίας, πλην άνω άκρου και δακτύλων άκρου ποδός, χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",3223.00,14,118.23,Κ
Κ12Μ,"Τοποθέτηση ή αντικατάσταση βηματοδότη, ολικού συστήματος, με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",5465.00,11,171.41,Κ
Κ12Χ,"Τοποθέτηση ή αντικατάσταση βηματοδότη, ολικού συστήματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",3694.00,4,147.21,Κ
Κ13Μ,Ακρωτηριασμός άνω άκρου ή δακτύλου άκρου ποδός λόγω νοσήματος κυκλοφορικού με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,3969.00,17,217.22,Κ
Κ13Χ,Ακρωτηριασμός άνω άκρου ή δακτύλου άκρου ποδός λόγω καρδιαγγειακού νοσήματος χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1660.00,7,249.54,Κ
Κ14Μα,"Αγγειακές επεμβάσεις, πλην μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",3569.00,11,231.05,Κ
Κ14Μβ,"Αγγειακές επεμβάσεις, πλην μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία, με σοβαρού ή μετρίου βαθμού συνυπάρχουσες παθήσεις-επιπλοκές",1991.00,4,260.13,Κ
Κ14Χ,"Αγγειακές επεμβάσεις, πλην μειζόνων επανορθωτικών επεμβάσεων, χωρίς εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές",1277.00,2,279.89,Κ
Κ15Μ,Επεμβατικές στεφανιαίες επεμβάσεις χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με τοποθέτηση ενδοπρόθεσης (stent) με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2728.00,4,295.18,Κ
Κ15Χ,Επεμβατικές στεφανιαίες επεμβάσεις χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με τοποθέτηση ενδοπρόθεσης (stent) χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2013.00,2,183.53,Κ
Κ16Μ,Επεμβατικές στεφανιαίες επεμβάσεις χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς τοποθέτηση ενδοπρόθεσης (stent) με συνυπάρχουσες παθήσεις-επιπλοκές,1531.00,3,276.73,Κ
Κ16Χ,Επεμβατικές μέθοδοι στα στεφανιαία χωρίς ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς τοποθέτηση ενδοπρόθεσης (stent) χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,1118.00,2,197.97,Κ
Κ17Μ,Τοποθέτηση ή αντικατάσταση γεννήτριας βηματοδότη με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2892.00,5,215.75,Κ
Κ17Χ,Τοποθέτηση ή αντικατάσταση γεννήτριας βηματοδότη χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2617.00,1,70.99,Κ
Κ18Μ,Λοιπές επεμβάσεις με βηματοδότη με συνυπάρχουσες παθήσεις-επιπλοκές,2226.00,7,157.15,Κ
Κ18Χ,Λοιπές επεμβάσεις με βηματοδότη χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,1146.00,2,266.71,Κ
Κ19Α,Διαδερμικές ενδοαγγειακές καρδιακές επεμβάσεις,3194.00,3,95.43,Κ
Κ20Α,Απολίνωση φλέβας,760.00,1,115.04,Κ
Κ21Μ,Λοιπές επεμβάσεις νοσημάτων κυκλοφορικού με συνυπάρχουσες παθήσεις-επιπλοκές,3680.00,15,131.84,Κ
Κ21Χ,Λοιπές επεμβάσεις νοσημάτων κυκλοφορικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1494.00,4,163.67,Κ
Κ22Α,Αορτικά Βαλβιδοφόρα Μοσχεύματα,7753.00,15,134.38,Κ
Κ30Μ,Νοσήματα κυκλοφορικού με μηχανική υποστήριξη αναπνοής (αναπνευστήρα) με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,6295.00,11,269.91,Κ
Κ30Χ,Νοσήματα κυκλοφορικού με μηχανική υποστήριξη αναπνοής (αναπνευστήρα) χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,4470.00,6,119.56,Κ
Κ31Μ,Νοσήματα κυκλοφορικού με ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2038.00,8,287.80,Κ
Κ31Χ,παθήσεις-επιπλοκές του κυκλοφορικού με ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1183.00,4,155.39,Κ
Κ32Α,"παθήσεις-επιπλοκές του κυκλοφορικού χωρίς ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική, την ίδια ημέρα",1043.00,1,258.73,Κ
Κ32Μ,παθήσεις-επιπλοκές του κυκλοφορικού χωρίς ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2062.00,8,167.58,Κ
Κ32Χ,παθήσεις-επιπλοκές του κυκλοφορικού χωρίς ΟΕΜ με διαγνωστική επεμβατική καρδιακή τεχνική χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1089.00,3,237.26,Κ
Κ33Α,Διάγνωση κυκλοφορικού με μη επεμβατικό μηχανικό αερισμό,3132.00,13,63.02,Κ
Κ40Μ,Διαταραχές κυκλοφορικού με ΟΕΜ χωρίς διαγνωστική επεμβατική καρδιακή τεχνική με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2000.00,10,287.98,Κ
Κ40Χ,Διαταραχές κυκλοφορικού με ΟΕΜ χωρίς διαγνωστική επεμβατική καρδιακή τεχνική χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,794.00,3,106.06,Κ
Κ41Μ,Λοιμώδης ενδοκαρδίτιδα με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,4801.00,22,67.15,Κ
Κ41Χ,Λοιμώδης ενδοκαρδίτιδα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2397.00,12,289.32,Κ
Κ42Μ,Καρδιακή ανεπάρκεια και καταπληξία (SCHOCK) με καταστροφικές συνυπάρχουσες παθήσεις,2054.00,10,60.06,Κ
Κ42Χ,Καρδιακή ανεπάρκεια και καταπληξία (SCHOCK) χωρίς καταστροφικές συνυπάρχουσες παθήσεις,934.00,5,57.76,Κ
Κ43Μ,Φλεβοθρόμβωση με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1471.00,8,111.82,Κ
Κ33Χ,Φλεβοθρόμβωση χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,669.00,5,259.81,Κ
Κ34Μ,Δερματικά έλκη σε παθήσεις-επιπλοκές κυκλοφορικού με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2233.00,13,205.33,Κ
Κ34Χ,Δερματικά έλκη σε παθήσεις-επιπλοκές κυκλοφορικού χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,981.00,5,109.64,Κ
Κ35Μ,Περιφερική αγγειοπάθεια με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1502.00,7,168.39,Κ
Κ35Χ,Περιφερική αγγειοπάθεια χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,521.00,2,78.60,Κ
Κ36Μ,Αθηρωμάτωση στεφανιαίων αρτηριών με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,957.00,5,286.94,Κ
Κ36Χ,Αθηρωμάτωση στεφανιαίων αρτηριών χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,374.00,2,166.26,Κ
Κ37Μ,Αρτηριακή υπέρταση με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1198.00,6,114.06,Κ
Κ37Χ,Αρτηριακή υπέρταση χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,459.00,2,142.22,Κ
Κ38Μ,Συγγενής καρδιοπάθεια με συνυπάρχουσες παθήσεις-επιπλοκές,1284.00,4,201.47,Κ
Κ38Χ,Συγγενής καρδιοπάθεια χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,627.00,1,290.93,Κ
Κ39Μ,Βαλβιδοπάθειες με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1268.00,6,229.59,Κ
Κ39Χ,Βαλβιδοπάθειες χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,327.00,2,244.45,Κ
Κ42Μ,Ασταθής στηθάγχη με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,942.00,4,90.94,Κ
Κ42Χ,Ασταθής στηθάγχη χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,467.00,2,127.76,Κ
Κ43Μ,Συγκοπή και λιποθυμία με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,1113.00,6,194.67,Κ
Κ43Χ,Συγκοπή και λιποθυμία χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,397.00,2,282.22,Κ
Κ44Α,Θωρακικό άλγος,311.00,1,193.95,Κ
Κ45Μα,Λοιπές παθήσεις-επιπλοκές κυκλοφορικού με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2428.00,10,277.01,Κ
Κ45Μβ,Λοιπές παθήσεις-επιπλοκές κυκλοφορικού με μετρίου ή σοβαρού βαθμού συνυπάρχουσες παθήσεις-επιπλοκές,1019.00,4,143.83,Κ
Κ45Χ,Λοιπές παθήσεις-επιπλοκές κυκλοφορικού χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,521.00,2,285.37,Κ
Κ46Μ,"Αρρυθμία, καρδιακή ανακοπή και διαταραχές αγωγιμότητας με σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",1245.00,6,99.58,Κ
Κ46Χ,"Αρρυθμία, καρδιακή ανακοπή και διαταραχές αγωγιμότητας χωρίς σοβαρού βαθμού ή καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",444.00,2,198.02,Κ
Κ47Α,Κατάλυση αρρυθμιογόνων εστιών,2423.00,6,257.64,Κ
Π01Μ,Εκτομή ορθού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6489.00,18,110.71,Π
Π01Χ,Εκτομή ορθού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3857.00,9,224.30,Π
Π02Μ,Μείζονες επεμβάσεις λεπτού και παχέος εντέρου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,5741.00,17,125.40,Π
Π02Χ,Μείζονες επεμβάσεις λεπτού και παχέος εντέρου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2771.00,8,221.06,Π
Π03Μ,"Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδακτύλου με κακοήθεια ή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",6908.00,17,251.38,Π
Π03Χα,"Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδάκτυλου χωρίς κακοήθεια και σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές",2826.00,8,249.06,Π
Π03Χβ,"Επεμβάσεις στομάχου, οισοφάγου και δωδεκαδάκτυλου χωρίς κακοήθεια χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",1813.00,4,191.48,Π
Π04Μα,Λύση περιτοναϊκών συμφύσεων με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4847.00,16,60.27,Π
Π04Μβ,Λύση περιτοναϊκών συμφύσεων με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,2710.00,9,183.19,Π
Π04Χ,Λύση περιτοναϊκών συμφύσεων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1578.00,4,215.38,Π
Π05Μα,Μικρές επεμβάσεις λεπτού και παχέος εντέρου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3329.00,12,67.24,Π
Π05Μβ,Μικρές επεμβάσεις λεπτού και παχέος εντέρου με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,2085.00,7,211.89,Π
Π05Χ,Μικρές επεμβάσεις λεπτού και παχέος εντέρου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1379.00,4,53.16,Π
Π06Α,Επεμβάσεις πυλορομυοτομής,1037.00,3,155.01,Π
Π07Μ,Σκωληκοειδεκτομή με κακοήθεια ή περιτονίτιδα ή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1550.00,5,172.55,Π
Π07Χ,Σκωληκοειδεκτομή χωρίς κακοήθεια ή περιτονίτιδα ή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,983.00,2,158.38,Π
Π10Μ,"Επεμβάσεις κηλών (βουβωνοκήλες, ομφαλοκήλες κτλ) με συνυπάρχουσες παθήσεις - επιπλοκές",1697.00,5,140.55,Π
Π10Χ,"Επεμβάσεις κηλών (βουβωνοκήλες, ομφαλοκήλες κτλ) χωρίς συνυπάρχουσες παθήσεις - επιπλοκές",868.00,1,272.89,Π
Π11Α,Επεμβάσεις που αφορούν κωλοστομίες και πρωκτό,566.00,2,164.93,Π
Π12Μα,Λοιπές Επεμβάσεις πεπτικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4177.00,16,88.25,Π
Π12Μβ,Λοιπές Επεμβάσεις πεπτικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,1932.00,7,94.03,Π
Π12Χ,Λοιπές Επεμβάσεις πεπτικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,967.00,3,180.44,Π
Π26Μ,Συνδυασμένη γαστροσκόπιση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3338.00,14,212.61,Π
Π26Χ,Συνδυασμένη γαστροσκόπιση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1245.00,5,203.98,Π
Π26Α,"Συνδυασμένη γαστροσκόπιση, την ίδια ημέρα",330.00,1,279.90,Π
Π27Μ,Λοιπές επεμβάσεις γαστροσκόπισης με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2521.00,12,243.66,Π
Π27Χ,Λοιπές επεμβάσεις γαστροσκόπισης χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,988.00,4,166.22,Π
Π27Α,"Λοιπές επεμβάσεις γαστροσκόπισης, την ίδια ημέρα",265.00,1,256.43,Π
Π28Μ,Κολονοσκόπιση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2062.00,10,198.12,Π
Π28Χ,Κολονοσκόπιση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,872.00,4,130.58,Π
Π28Α,"Κολονοσκόπιση, την ίδια ημέρα",290.00,1,111.37,Π
Π40Μ,Κακοήθεια του γαστρεντερικού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1673.00,9,283.66,Π
Π40Χ,Κακοήθεια του γαστρεντερικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,677.00,4,119.73,Π
Π41Μ,Αιμορραγία γαστρεντερικού με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1027.00,5,162.70,Π
Π41Χ,Αιμορραγία γαστρεντερικού χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,412.00,2,237.62,Π
Π42Α,Επιπεπλεγμένο πεπτικό έλκος,1097.00,5,192.46,Π
Π43Α,Μη επιπεπλεγμένο πετικό έλκος,335.00,2,217.05,Π
Π44Μ,Φλεγμονώδης νόσος εντέρου με συνυπάρχουσες παθήσεις - επιπλοκές,1097.00,5,134.10,Π
Π44Χ,Φλεγμονώδης νόσος εντέρου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,1073.00,2,173.58,Π
Π45Μ,Απόφραξη γαστρεντερικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1338.00,7,131.25,Π
Π45Χ,Απόφραξη γαστρεντερικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,623.00,3,171.89,Π
Π46Α,Κοιλιακός πόνος ή μεσεντερική αδενίτιδα,327.00,2,138.71,Π
Π47Μ,Οισοφαγίτιδα και γαστρεντερίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1121.00,5,114.59,Π
Π47Χ,Οισοφαγίτιδα και γαστρεντερίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,335.00,2,119.91,Π
Π50Μ,Διάγνωση άλλων παθήσεων του πεπτικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1136.00,6,199.04,Π
Π50Χ,Διάγνωση άλλων παθήσεων του πεπτικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,374.00,2,270.03,Π
Η01Μ,"Αναστομώσεις πυλαίας-κάτω κοίλης, επεμβάσεις παγκρέατος, ήπατος και παρακάμψεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",7916.00,19,188.95,Η
Η01Χ,"Αναστομώσεις πυλαίας-κάτω κοίλης, επεμβάσεις παγκρέατος, ήπατος και παρακάμψεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",3682.00,7,179.16,Η
Η02Μα,Μείζονες επεμβάσεις χοληφόρων με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,5111.00,17,97.76,Η
Η02Μβ,Μείζονες επεμβάσεις χοληφόρων με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2578.00,9,110.34,Η
Η02Χ,Μείζονες επεμβάσεις χοληφόρων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2079.00,6,151.61,Η
Η05Μ,Διαγνωστικές ηπατοχολικές παρεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4533.00,14,188.79,Η
Η05Χ,Διαγνωστικές ηπατοχολικέςπαρεμβάσεις χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1393.00,4,110.08,Η
Η06Μ,Λοιπές Διαγνωστικές ηπατοχολικές χειρουργικές παρεμβάσεις και παρεμβάσεις παγκρέατος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4646.00,19,169.02,Η
Η06Χ,Λοιπές Διαγνωστικές ηπατοχολικές χειρουργικές παρεμβάσεις και παρεμβάσεις παγκρέατος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1556.00,5,227.96,Η
Η07Μ,Ανοιχτή χολοκυστεκτομή με κλειστό χοληδόχο πόρο ή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4299.00,14,162.04,Η
Η07Χ,Ανοιχτή χολοκυστεκτομή χωρίς κλειστό χοληδόχο πόρο χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2037.00,6,54.31,Η
Η08Μ,Λαπαρασκοπική χολοκυστεκτομή με κλειστό χοληδόχο πόρο ή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2111.00,6,123.56,Η
Η08Χ,Λαπαρασκοπική χολοκυστεκτομή χωρίς κλειστό χοληδόχο πόρο χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1273.00,2,151.10,Η
Η20Μ,Ενδοσκοπικές επεμβάσεις για αιμορραγία κιρσων του οισοφάγου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3561.00,11,110.83,Η
Η20Χ,Ενδοσκοπικές επεμβάσεις για αιμορραγία κιρσων του οισοφάγου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1517.00,5,215.99,Η
Η23Μ,Ενδοσκοπική παλίνδρομη χολαγειοπαγκρεατογραφία με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2552.00,11,142.26,Η
Η23Χ,Ενδοσκοπική παλίνδρομη χολαγειοπαγκρεατογραφία χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,786.00,3,188.37,Η
Η40Μα,Κίρρωση και αλκοολική ηπατίτιδα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2654.00,12,135.94,Η
Η40Μβ,Κίρρωση και αλκοολική ηπατίτιδα με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,965.00,5,299.16,Η
Η40Χ,Κίρρωση και αλκοολική ηπατίτιδα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,366.00,2,187.60,Η
Η41Μ,Κακοήθεια του ηπατοχολικού συστήματος και παγκρέατος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1930.00,9,137.95,Η
Η41Χ,Κακοήθεια του ηπατοχολικού συστήματος και παγκρέατος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,872.00,4,163.44,Η
Η42Μ,Διαταραχές παγκρέατος χωρίς κακοήθεια με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1938.00,8,126.66,Η
Η42Χ,Διαταραχές παγκρέατος χωρίς κακοήθεια χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,708.00,3,107.63,Η
Η43Μ,"Διαταραχές ήπατος χωρίς κακοήθεια, Κύρωση, αλκοολική ηπατίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",1813.00,8,230.32,Η
Η43Χ,"Διαταραχές ήπατος χωρίς κακοήθεια, Κύρωση, αλκοολική ηπατίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές",521.00,2,128.89,Η
Η44Μ,Δαταραχές των χοληφόρων με συνυπάρχουσες παθήσεις - επιπλοκές,1198.00,6,235.72,Η
Η44Χ,Δαταραχές των χοληφόρων με/ χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,436.00,2,287.72,Η
Μ01Μ,Αμφοτερόπλευρες/Πολλαπλές επεμβάσεις μεγάλων αρθρώσεων κάτω άκρων με αναθεώρηση ή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,14020.00,25,222.54,Μ
Μ01Χ,Αμφοτερόπλευρες/ Πολλαπλές επεμβάσεις μεγάλων αρθρώσεων κάτω άκρων χωρίς αναθεώρηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,9606.00,7,97.89,Μ
Μ02Μ,Μεταφορά μικροαγγειούμενου ιστικού μοσχεύματος ή (Δερματικό μόσχευμα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές) εξαιρουμένης άκρας χείρας,9110.00,27,234.65,Μ
Μ02Χ,"Δερματικό μόσχευμα (κρημνός) χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές, εξαιρουμένης άκρας χείρας",3430.00,8,119.12,Μ
