drug_id,ema_code,name,manufacturer
1559,EMA-001559,Etoricoxib/Steden Pharma 120 Mg,Steden Pharma B.V.
1560,EMA-001560,Etoricoxib/Steden Pharma 30 Mg,Steden Pharma B.V.
1561,EMA-001561,Etoricoxib/Steden Pharma 60 Mg,Steden Pharma B.V.
1562,EMA-001562,Etoricoxib/Steden Pharma 90 Mg,Steden Pharma B.V.
1563,EMA-001563,Etrozac,Iasis Pharma
1564,EMA-001564,Europrazol,Desant Technologia Kallyntikon Kai Farmakon M.E.P.E.
1565,EMA-001565,Euthyrox,Merck A.E.
1566,EMA-001566,Euvilme,Innovis Pharma
1567,EMA-001567,Evadil,Vianex S.A.
1568,EMA-001568,Evangio,Rafarm Sa.
1569,EMA-001569,Evaton B+c,Demo Abee
1570,EMA-001570,Evaton B12,Demo Abee
1571,EMA-001571,Evaton Β12,Demo Abee
1572,EMA-001572,Evaton Β12,Demo Abee
1573,EMA-001573,Evaton-B,Demo Abee
1574,EMA-001574,Evaton-D,Demo Abee
1575,EMA-001575,Evaton-T,Demo Abee
1576,EMA-001576,Evecet,Pharmathen S.A.
1577,EMA-001577,Everolimus Faran,Faran S.A.
1578,EMA-001578,Everolimus Pharmazac,Pharmazac Sa
1579,EMA-001579,Everolimus Sandoz,Sandoz Pharmaceuticals D.D.
1580,EMA-001580,Everolimus Teva,Teva B.V
1581,EMA-001581,Evinopon,Bros Ltd
1582,EMA-001582,Evinopon,Bros Ltd
1583,EMA-001583,Evinopon,Bros Ltd
1584,EMA-001584,Evinopon,Bros Ltd
1585,EMA-001585,Eviol,Gap S.A.
1586,EMA-001586,Eviol-Α,Gap S.A.
1587,EMA-001587,Evitrat,Ioulia And Irene Tseti Pharmaceutical Laboratories S.A.
1588,EMA-001588,Evitrat,Uni-Pharma Kleon Tsetis Pharmaceutical Laboratories S.A.
1589,EMA-001589,Evoxil,Pharmathen S.A.
1590,EMA-001590,Evoxil,Pharmathen S.A.
1591,EMA-001591,Evrima-B6,Nassington Ltd
1592,EMA-001592,Exafosate,Nassington Ltd
1593,EMA-001593,Exanar,Win Medica Sa
1594,EMA-001594,Exanar Plus,Win Medica Sa
1595,EMA-001595,Exemestane Teva,Teva Pharma B.V.
1596,EMA-001596,Exenadil,Target Pharma Single Member Private Ltd
