ΚΩΔΙΚ. ΚΕΝ (*),ΚΕΝ ΠΕΡΙΓΡΑΦΗ,ΚΟΣΤΟΣ ΑΝΑ ΚΕΝ,ΜΔΝ (*)
Ν23Α,Άνοια (ανοικτή συνδρομή) και άλλες χρόνιες δυσλειτουργίες της εγκεφαλικής λειτουργίας,2.109€,13
Ν24Μ,Παραλήρημα /Διέγερση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2.389€,13
Ν24Χ,Παραλήρημα /Διέγερση με /χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.159€,6
Ν25Α,Εγκεφαλική παράλυση,482€,2
Ν26Μ,Νεοπλάσματα νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2.062€,9
Ν26Χ,Νεοπλάσματα νευρικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,872€,4
Ν27Μα,Εκφυλιστικά νοσήματα-διαταραχές νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2.529€,13
Ν27Μβ,Εκφυλιστικά νοσήματα -διαταραχές νευρικού συστήματος με μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1.307€,8
Ν27Χ,Εκφυλιστικά νοσήματα (διαταραχές) νευρικού συστήματος χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,482€,3
Ν28Μ,Σκλήρυνση κατά πλάκας και παρεγκεφαλιδική αταξία με συνυπάρχουσες παθήσεις - επιπλοκές,1.907€,9
Ν68Χ,Σκλήρυνση κατά πλάκας και παρεγκεφαλιδική αταξία χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,565€,2
Ν29Μ,Παροδικό εγκεφαλικό ισχαιμικό επεισόδιο και προεγκεφαλιδική απόφραξη με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.230€,6
Ν29Χ,Παροδικό ισχαιμικό επεισόδιο και προεγκεφαλιδική απόφραξη χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,545€,3
Ν30Α,"Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες, ασθενούς που κατέληξε ή διακοσμήθηκε σε <5ημέρες",420€,2
Ν30Μα,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3.408€,17
Ν30Μβ,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες με σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.860€,9
Ν30Χ,Αγγειακό εγκεφαλικό επεισόδιο και άλλες αγγειακές εγκεφαλικές δυσλειτουργίες χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,1.191€,6
Ν31Μ,Δυσλειτουργίες κρανιακών ή περιφερικών νεύρων με συνυπάρχουσες παθήσεις - επιπλοκές,1.510€,7
Ν31Χ,Δυσλειτουργίες κρανιακών ή περιφερικών νεύρων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,280€,2
Ν32Μ,Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,3.175€,14
Ν32Χ,Λοίμωξη νευρικού συστήματος εκτός από ιογενή μηνιγγίτιδα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.183€,5
Ν33Α,Ιογενής μηνιγγίτιδα,739€,3
Ν34Χ,Μη τραυματικής αιτιολογίας βυθιότητα-λήθαργος και κώμα με συνυπάρχουσες παθήσεις – επιπλοκές,1.012€,5
Ν34Χ,Μη τραυματικής αιτιολογίας βυθιότητα-λήθαργος και κώμα χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,374€,2
Ν35Α,Πυρετικοί σπασμοί,350€,1
Ν36Μ,Σπασμοί με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.486€,6
Ν36Χ,Σπασμοί χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,482€,2
Ν37Α,Κεφαλαλγία,335€,2
Ν38Μ,Ενδοκρανιακή (κρανιοεγκεφαλική) κάκωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2.327€,10
Ν38Χ,Ενδοκρανιακή (κρανιοεγκεφαλική) κάκωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,879€,4
Ν39Μ,Κατάγματα κρανίου με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.323€,5
Ν39Χ,Κατάγματα κρανίου χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,537€,7
Ν40Α,Άλλες κακώσεις κεφαλής,272€,1
Ν41Μ,Άλλες διαταραχές του νευρικού συστήματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.837€,10
Ν41Χ,Άλλες διαταραχές του νευρικού συστήματος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,693€,3
Ν42Μα,Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις – επιπλοκές,5.805€,23
Ν82Μβ,Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις με σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,2.475€,11
Ν82Χ,Χρόνια και μη διευκρινισμένη παραπληγία/ τετραπληγία με ή χωρίς χειρουργικές επεμβάσεις χωρίς καταστροφικές/σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές,1.416€,6
ΤΚΑ 02,Παθήσεις και δυσλειτουργίες των οφθαλμών (Ο),,
Ο01Α,Επεμβάσεις για διατρηταίνοντες τραυματισμούς των οφθαλμών,1.395€,3
Ο02Α,Εκπυρήνωση-εξόρυξη και επεμβάσεις οφθαλμικού κόγχου,1.611€,3
Ο03Α,Επεμβάσεις αμφιβληστροειδούς,837€,1
Ο04Α,"Σοβαρές επεμβάσεις κερατοειδούς, σκληρού και επιπεφυκότα",1.356€,3
Ο05Α,Ασκορυνοστομία,896€,1
Ο10Α,Επεμβάσεις Στραβισμού,650€,1
Ο11Α,Επεμβάσεις βλεφάρων,639€,1
Ο12Α,"Λοιπές επεμβάσεις κερατοειδούς, σκληρού και επιπεφυκότα",583€,1
Ο13Α,Επεμβάσεις δακρυϊκής συσκευής,336€,1
Ο14Α,Λοιπές επεμβάσεις οφθαλμού,406€,2
Ο15Α,Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη,1.026€,2
Ο15Β,Επεμβάσεις γλαυκώματος και περίπλοκες επεμβάσεις καταρράκτη την ίδια μέρα,687€,1
Ο16Α,Επεμβάσεις φακού (από καταράκτη κ.λπ.),592€,1
Ο17Α,Μεταμοσχεύσεις Κερατοειδούς,2.423€,10
Ο20Μ,Επεμβάσεις για οξείες και μείζονες Λοιμώξεις του οφθαλμού με συνυπάρχουσες παθήσεις- επιπλοκές,1.860€,8
Ο20Χ,Επεμβάσεις για οξείες και μείζονες Λοιμώξεις του οφθαλμού χωρίς συνυπάρχουσες παθήσεις- επιπλοκές,1.035€,4
Ο21Μ,Νευρολογικές και αγγειακές δυσλειτουργίες του οφθαλμού με συνυπάρχουσες παθήσεις- επιπλοκές,934€,5
Ο61Χ,Νευρολογικές και αγγειακές δυσλειτουργίες του οφθαλμού χωρίς συνυπάρχουσες παθήσεις- επιπλοκές,482€,2
Ο22Α,Ύφαιμα και ιατρική αντιμετώπιση τραυματισμών του οφθαλμού,327€,2
Ο23Α,Λοιπές δυσλειτουργίες οφθαλμού,420€,2
ΤΚΑ 03,Παθήσεις και δυσλειτουργίες του ΩΡΛ και Στόματος (Ω),,
Ω01Α,Κοχλιακά εμφυτεύματα,24.000€,1
Ω02Μα,Επεμβάσεις κεφαλής και τραχήλου με καταστροφικές η σοβαρές συνυπάρχουσες παθήσεις,5.420€,11
Ω02Μβ,Επεμβάσεις κεφαλής και τραχήλου με κακοήθεια ή μετριοπαθείς συνυπάρχουσες παθήσεις,2.570€,4
Ω02Χ,Επεμβάσεις κεφαλής και τραχήλου χωρίς κακοήθεια χωρίς μετριοπαθείς συνυπάρχουσες παθήσεις,1.609€,2
Ω03Α,Χειρουργική διόρθωση ή επισκευή παθήσεων του λαγώχειλου ή λυκοστόματος,1.281€,2
Ω04Μ,Γναθοχειρουργική με συνυπάρχουσες παθήσεις-επιπλοκές,3.125€,4
Ω04Χ,Γναθοχειρουργική χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,1.934€,2
Ω05Α,Επεμβάσεις της παρωτίδος,1.859€,2
Ω06Α,Επεμβάσεις παραρηνίων κόλπων και σύνθετες επεμβάσεις μέσου ωτός,1.125€,1
Ω10Α,Επεμβάσεις ρινικές,787€,1
Ω11Α,Αμυγδαλεκτομές και / ή Αδενοηδεκτομές,526€,1
Ω12Α,Άλλες επεμβάσεις του ΩΡΛ και στόματος,946€,1
Ω13Α,Τυμπανοτωμή ( Μυριγγεκτομή ) με εισαγωγή σωλήνα,347€,1
Ω14Α,Επεμβάσεις του στόματος και σιαλογόνων αδένων,740€,2
Ω15Α,Επεμβάσεις μαστοειδούς,2.145€,2
Ω20Α,Οδοντικές εξαγωγές και αποκαταστάσεις,557€,1
Ω30Μ,Κακοήθεια ΩΡΛ και στόματος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις,2.288€,9
Ω30Χ,Κακοήθεια ΩΡΛ και στόματος με καταστροφικές χωρίς σοβαρές συνυπάρχουσες παθήσεις,545€,2
Ω31Α,Ίλλιγγος,444€,2
Ω32Α,Ρινορραγία,358€,2
Ω33Α,Μέση ωτίτιδα και λοιμώξεις του ανώτερου αναπνευστικού,397€,2
Ω34Α,Λαρυγγοτραχειίτιδα και επιγλωττίτις,288€,1
Ω35Α,Ρινικό τραύμα και δυσμορφία,265€,1
Ω36Μ,Άλλες διαγνώσεις του ΩΡΛ και στόματος με συνυπάρχουσες παθήσεις-επιπλοκές,957€,4
Ω36Χ,Άλλες διαγνώσεις του ΩΡΛ και στόματος χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,243€,1
Ω37Α,"Στοματικές και οδοντικές διαταραχές εκτός από εξαγωγές και αποκαταστάσεις, την ίδια ημέρα",254€,1
Ω37Β,Στοματικές και οδοντικές διαταραχές εκτός από εξαγωγές και αποκαταστάσεις,661€,3
ΤΚΑ 04,Παθήσεις και δυσλειτουργίες του αναπνευστικού συστήματος (Α),,
Α01Μ,Μείζονες επεμβάσεις θώρακος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,4.701€,15
Α01Χ,Μείζονες επεμβάσεις θώρακος χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,2.712€,7
Α02Μα,Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές,3.922€,16
Α02Μβ,Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,1.595€,5
Α02Χ,Λοιπές επεμβάσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,683€,1
Α10Μ,Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,6.036€,12
Α10Χ,Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,4.627€,8
Α11Χ,Νοσήματα αναπνευστικού συστήματος χωρίς επεμβατικό μηχανικό αερισμό,3.635€,12
Α12Α,"Βρογχοσκόπηση, την ίδια ημέρα",1.910€,1
Α12Μ,Βρογχοσκόπηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,3.984€,17
Α12Χ,Βρογχοσκόπηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.798€,7
Α20Μ,Κυστική ίνωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,3.696€,13
Α20Χ,Κυστική ίνωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,2.638€,10
Α21Μ,Πνευμονική εμβολή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2.187€,11
Α21Χ,Πνευμονική εμβολή χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.035€,6
Α22Μα,Αναπνευστικές λοιμώξεις / φλεγμονές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.938€,10
Α22Μβ,Αναπνευστικές λοιμώξεις/ φλεγμονές με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1.144€,6
Α22Χ,Αναπνευστικές λοιμώξεις/ φλεγμονές χωρίς συνυπάρχουσες παθήσεις – επιπλοκές,630€,3
Α23Α,Σύνδρομο άπνοιας ύπνου,319€,1
Α24Μ,Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.821€,8
Α24Χ,Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,949€,4
Α25Μ,Χρόνια αποφρακτική πνευμονοπάθεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.766€,9
Α25Χ,Χρόνια αποφρακτική πνευμονοπάθεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,949€,5
Α26Μα,Μείζον τραύμα Θώρακος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2.467€,12
Α26Μβ,Μείζον τραύμα Θώρακος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1.175€,5
Α26Χ,Μείζον τραύμα Θώρακος με συνυπάρχουσες παθήσεις - επιπλοκές,607€,3
Α27Μ,Αναπνευστικά σημεία και συμπτώματα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,864€,4
Α27Χ,Αναπνευστικά σημεία και συμπτώματα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές,350€,2
Α28Μ,Πνευμοθώρακας με συνυπάρχουσες παθήσεις - επιπλοκές,1.377€,6
Α28Χ,Πνευμοθώρακας χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,623€,3
Α29Μ,Βρογχίτιδα και άσθμα με συνυπάρχουσες παθήσεις - επιπλοκές,872€,4
Α29Χ,Βρογχίτιδα και άσθμα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,397€,2
Α30Μ,Υλακώδης βήχας και οξεία βρογχιολίτιδα με συνυπάρχουσες παθήσεις - επιπλοκές,1.331€,5
Α30Χ,Υλακώδης βήχας και οξεία βρογχιολίτιδα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,607€,2
Α31Μ,Νεοπλάσματα αναπνευστικού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.798€,9
Α31Χ,Νεοπλάσματα αναπνευστικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,910€,5
Α32Α,Αναπνευστικά προβλήματα αναδυόμενα από τη νεογνική περίοδο,846€,4
Α33Μα,Πλευριτική συλλογή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,2.023€,10
Α33Μβ,Πλευριτική συλλογή με σοβαρές ή μεσαίου βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές,1.043€,5
Α33Χ,Πλευριτική συλλογή χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,607€,3
Α34Μα,Διάμεση πνευμονική νόσος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.977€,10
Α34Μβ,Διάμεση πνευμονική νόσος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,1.393€,7
Α34Χ,Διάμεση πνευμονική νόσος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,638€,3
Α35Μα,Λοιπές διαγνώσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές,1.556€,8
Α35Μβ,Λοιπές διαγνώσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές,973€,5
Α35Χ,Λοιπές διαγνώσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές,475€,2
Α36Α,Φυματίωση αναπνευστικού,2.412€,14
ΤΚΑ 05,Παθήσεις και δυσλειτουργίες κυκλοφορικού (Κ),,
Κ01Μ,"Τοποθέτηση ή αντικατάσταση εμφυτεύσιμου απινιδωτή, ολικό σύστημα με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές",16.215€,12
Κ01Χ,"Τοποθέτηση ή αντικατάσταση εμφυτεύσιμου απινιδωτή, ολικό σύστημα χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές",12.420€,3
Κ02Α,Άλλες επεμβάσεις επί εμφυτεύσιμου απινιδωτή,2.844€,4
Κ03Μ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία και με επεμβατικό καρδιακό καθετηριασμό με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,15.429€,23
Κ03Χ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία και με επεμβατικό καρδιακό καθετηριασμό χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,11.734€,13
Κ04Μ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία χωρίς επεμβατικό καρδιακό καθετηριασμό και με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,13.155€,14
Κ04Χ,Επεμβάσεις σε καρδιακές βαλβίδες με εξωσωματική κυκλοφορία χωρίς επεμβατικό καρδιακό καθετηριασμό και χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,9.163€,8
Κ05Μ,Αορτοστεφανιαία παράκαμψη με καρδιακό καθετηριασμό με επανεπέμβαση με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,10.023€,18
Κ05Χ,Αορτοστεφανιαία παράκαμψη με καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,7.270€,13
Κ06Μ,Αορτοστεφανιαία παράκαμψη χωρίς καρδιακό καθετηριασμό με επανεπέμβαση ή με καταστροφικές / σοβαρές συνυπάρχουσες παθήσεις-επιπλοκές,7.182€,10
Κ06Χ,Αορτοστεφανιαία παράκαμψη χωρίς καρδιακό καθετηριασμό χωρίς επανεπέμβαση χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,5.077€,7
Κ07Μα,Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,10.554€,12
Κ07Μβ,Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία με σοβαρές ή μετρίας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές,7.279€,8
Κ07Χ,Λοιπές κάρδιο-θώρακοχειρουργικές /αγγειοχειρουργικές επεμβάσεις με εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,5.354€,7
Κ08Μ,Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,8.956€,16
Κ08Χ,Μείζονες επανορθωτικές επεμβάσεις αγγείων χωρίς εξωσωματική κυκλοφορία χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,5.561€,7
Κ09Μα,Λοιπές κάρδιοθωρακικές χειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,6.413€,10
Κ09Μβ,Άλλες κάρδιο-θώρακοχειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία με σοβαρής ή μέτριας βαρύτητας συνυπάρχουσες παθήσεις-επιπλοκές,3.617€,6
Κ09Χ,Άλλες κάρδιο-θώρακοχειρουργικές επεμβάσεις χωρίς εξωσωματική κυκλοφορία χωρίς συνυπάρχουσες παθήσεις-επιπλοκές,2.386€,3
Κ10Μ,Επεμβατικές στεφανιαίες επεμβάσεις με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) με καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,4.166€,8
Κ10Χ,Επεμβατικές στεφανιαίες επεμβάσεις με ΟΕΜ (οξύ έμφραγμα μυοκαρδίου) χωρίς καταστροφικές συνυπάρχουσες παθήσεις-επιπλοκές,2.724€,4
